"Title","Year","Released","Rated","Runtime","Genre","Director","Language","Country","imdbRating","imdbVotes","imdbID","BoxOffice"
"The King and I","1956",1956-06-29,"G","133 min","Biography, Drama, Musical","Walter Lang","English, Thai","United States",7.4,27408,"tt0049408","$21,300,000"
"The King and I","1956",1956-06-29,"G","133 min","Biography, Drama, Musical","Walter Lang","English, Thai","United States",7.4,27408,"tt0049408","$21,300,000"
"The King and I","1956",1956-06-29,"G","133 min","Biography, Drama, Musical","Walter Lang","English, Thai","United States",7.4,27408,"tt0049408","$21,300,000"
"The Iron Petticoat","1956",1957-01-07,"Approved","87 min","Comedy","Ralph Thomas","English, Latin, German, French","United Kingdom",5.1,1206,"tt0049369","N/A"
"The Wrong Man","1956",1957-01-26,"Not Rated","105 min","Drama, Film-Noir","Alfred Hitchcock","English, Italian, Spanish","United States",7.4,30524,"tt0051207","N/A"
"The Wrong Man","1956",1957-01-26,"Not Rated","105 min","Drama, Film-Noir","Alfred Hitchcock","English, Italian, Spanish","United States",7.4,30524,"tt0051207","N/A"
"The Wrong Man","1956",1957-01-26,"Not Rated","105 min","Drama, Film-Noir","Alfred Hitchcock","English, Italian, Spanish","United States",7.4,30524,"tt0051207","N/A"
"Forbidden Planet","1956",1958-06-13,"G","98 min","Adventure, Sci-Fi","Fred M. Wilcox","English","United States",7.5,51926,"tt0049223","N/A"
"Forbidden Planet","1956",1958-06-13,"G","98 min","Adventure, Sci-Fi","Fred M. Wilcox","English","United States",7.5,51926,"tt0049223","N/A"
"Forbidden Planet","1956",1958-06-13,"G","98 min","Adventure, Sci-Fi","Fred M. Wilcox","English","United States",7.5,51926,"tt0049223","N/A"
"Gunslinger","1956",1956-06-15,"Approved","83 min","Western","Roger Corman","English","United States",3.7,1736,"tt0049287","N/A"
"Invasion of the Body Snatchers","1956",1956-02-05,"Approved","80 min","Drama, Horror, Sci-Fi","Don Siegel","English","United States",7.7,53359,"tt0049366","N/A"
"Invasion of the Body Snatchers","1956",1956-02-05,"Approved","80 min","Drama, Horror, Sci-Fi","Don Siegel","English","United States",7.7,53359,"tt0049366","N/A"
"Invasion of the Body Snatchers","1956",1956-02-05,"Approved","80 min","Drama, Horror, Sci-Fi","Don Siegel","English","United States",7.7,53359,"tt0049366","N/A"
"The Court Jester","1955",1956-01-27,"Approved","101 min","Adventure, Comedy, Family","Melvin Frank, Norman Panama","English","United States",7.8,13535,"tt0049096","N/A"
"The Court Jester","1955",1956-01-27,"Approved","101 min","Adventure, Comedy, Family","Melvin Frank, Norman Panama","English","United States",7.8,13535,"tt0049096","N/A"
"War and Peace","1956",1956-08-21,"PG","208 min","Drama, Romance, War","King Vidor","English, Russian, French","Italy, United States",6.7,10600,"tt0049934","N/A"
"War and Peace","1956",1956-08-21,"PG","208 min","Drama, Romance, War","King Vidor","English, Russian, French","Italy, United States",6.7,10600,"tt0049934","N/A"
"Bigger Than Life","1956",1956-09-05,"Not Rated","95 min","Drama","Nicholas Ray","English, Japanese","United States",7.4,7991,"tt0049010","N/A"
"Bigger Than Life","1956",1956-09-05,"Not Rated","95 min","Drama","Nicholas Ray","English, Japanese","United States",7.4,7991,"tt0049010","N/A"
"The Ten Commandments","1956",1956-10-05,"G","220 min","Adventure, Drama, Family","Cecil B. DeMille","English","United States",7.9,75210,"tt0049833","$65,500,000"
"The Ten Commandments","1956",1956-10-05,"G","220 min","Adventure, Drama, Family","Cecil B. DeMille","English","United States",7.9,75210,"tt0049833","$65,500,000"
"...And God Created Woman","1956",1957-10-21,"Approved","90 min","Drama, Romance","Roger Vadim","French, English","France",6.3,9077,"tt0049189","N/A"
"...And God Created Woman","1956",1957-10-21,"Approved","90 min","Drama, Romance","Roger Vadim","French, English","France",6.3,9077,"tt0049189","N/A"
"Around the World in 80 Days","1956",1956-10-17,"G","175 min","Adventure, Comedy, Family","Michael Anderson, John Farrow","Cantonese, English, Spanish, French","United States",6.7,29007,"tt0048960","$42,000,000"
"Around the World in 80 Days","1956",1956-10-17,"G","175 min","Adventure, Comedy, Family","Michael Anderson, John Farrow","Cantonese, English, Spanish, French","United States",6.7,29007,"tt0048960","$42,000,000"
"Around the World in 80 Days","1956",1956-10-17,"G","175 min","Adventure, Comedy, Family","Michael Anderson, John Farrow","Cantonese, English, Spanish, French","United States",6.7,29007,"tt0048960","$42,000,000"
"The Proud and Profane","1956",1956-09-25,"Not Rated","111 min","Drama, Romance, War","George Seaton","English, French","United States",6.1,524,"tt0049640","$3,900,000"
"Indestructible Man","1956",1956-03-25,"Approved","72 min","Crime, Horror, Sci-Fi","Jack Pollexfen","English","United States",4.4,3049,"tt0049363","N/A"
"Bus Stop","1956",1956-09-20,"Approved","96 min","Comedy, Drama, Romance","Joshua Logan","English","United States",6.3,12568,"tt0049038","N/A"
"Bus Stop","1956",1956-09-20,"Approved","96 min","Comedy, Drama, Romance","Joshua Logan","English","United States",6.3,12568,"tt0049038","N/A"
"The Killing","1956",1956-06-06,"Approved","84 min","Crime, Drama, Film-Noir","Stanley Kubrick","English","United States",7.9,94899,"tt0049406","N/A"
"The Killing","1956",1956-06-06,"Approved","84 min","Crime, Drama, Film-Noir","Stanley Kubrick","English","United States",7.9,94899,"tt0049406","N/A"
"The Killing","1956",1956-06-06,"Approved","84 min","Crime, Drama, Film-Noir","Stanley Kubrick","English","United States",7.9,94899,"tt0049406","N/A"
"Aparajito","1956",1956-10-11,"Not Rated","110 min","Drama","Satyajit Ray","Bengali","India",8.2,15520,"tt0048956","$134,241"
"Aparajito","1956",1956-10-11,"Not Rated","110 min","Drama","Satyajit Ray","Bengali","India",8.2,15520,"tt0048956","$134,241"
"A Man Escaped","1956",1957-08-26,"Not Rated","101 min","Drama, Thriller, War","Robert Bresson","French, German","France",8.2,24201,"tt0049902","N/A"
"A Man Escaped","1956",1957-08-26,"Not Rated","101 min","Drama, Thriller, War","Robert Bresson","French, German","France",8.2,24201,"tt0049902","N/A"
"Rodan","1956",1957-08-06,"Approved","74 min","Action, Sci-Fi","Ishirô Honda","Japanese, Mandarin, Tagalog","Japan",6.2,5674,"tt0049782","$500,000"
"Rodan","1956",1957-08-06,"Approved","74 min","Action, Sci-Fi","Ishirô Honda","Japanese, Mandarin, Tagalog","Japan",6.2,5674,"tt0049782","$500,000"
"The Man Who Never Was","1956",1956-02-23,"Approved","103 min","Drama, War","Ronald Neame","English, German, Spanish, Latin","United Kingdom, United States",7.4,5623,"tt0049471","N/A"
"The Man Who Never Was","1956",1956-02-23,"Approved","103 min","Drama, War","Ronald Neame","English, German, Spanish, Latin","United Kingdom, United States",7.4,5623,"tt0049471","N/A"
"High Society","1956",1956-07-17,"Not Rated","111 min","Comedy, Musical, Romance","Charles Walters","English","United States",6.9,17051,"tt0049314","N/A"
"High Society","1956",1956-07-17,"Not Rated","111 min","Comedy, Musical, Romance","Charles Walters","English","United States",6.9,17051,"tt0049314","N/A"
"High Society","1956",1956-07-17,"Not Rated","111 min","Comedy, Musical, Romance","Charles Walters","English","United States",6.9,17051,"tt0049314","N/A"
"Main Street","1956",1958-03-10,"N/A","99 min","Drama","Juan Antonio Bardem","Spanish","Spain, France",7.8,1620,"tt0049043","N/A"
"The Man Who Knew Too Much","1956",1956-06-01,"PG","120 min","Drama, Thriller","Alfred Hitchcock","English, Arabic, French","United States",7.4,67636,"tt0049470","N/A"
"The Man Who Knew Too Much","1956",1956-06-01,"PG","120 min","Drama, Thriller","Alfred Hitchcock","English, Arabic, French","United States",7.4,67636,"tt0049470","N/A"
"The Man Who Knew Too Much","1956",1956-06-01,"PG","120 min","Drama, Thriller","Alfred Hitchcock","English, Arabic, French","United States",7.4,67636,"tt0049470","N/A"
"Flowing","1956",1985-11-29,"N/A","117 min","Drama","Mikio Naruse","Japanese","Japan",7.6,1149,"tt0049537","N/A"
"The Unguarded Moment","1956",1956-12-27,"Approved","95 min","Crime, Drama, Film-Noir","Harry Keller","English","United States",6.3,467,"tt0049904","N/A"
"Eyewitness","1956",1957-01-21,"N/A","82 min","Crime, Drama, Film-Noir","Muriel Box","English","United Kingdom",6.3,303,"tt0049196","N/A"
"Eyewitness","1956",1957-01-21,"N/A","82 min","Crime, Drama, Film-Noir","Muriel Box","English","United Kingdom",6.3,303,"tt0049196","N/A"
"Sissi - Die junge Kaiserin","1956",1956-12-01,"N/A","107 min","Drama, History","Ernst Marischka","German, Hungarian","Austria",6.6,7140,"tt0049762","N/A"
"La banda degli onesti","1956",1956-04-12,"N/A","106 min","Comedy","Camillo Mastrocinque","Italian","Italy",7.5,1539,"tt0048981","N/A"
"The Captain from Köpenick","1956",1956-08-16,"N/A","93 min","Comedy, Drama","Helmut Käutner","German","West Germany",7.2,1844,"tt0049293","N/A"
"Fool's Mate","1956",1956-11-01,"N/A","28 min","Short, Comedy, Romance","Jacques Rivette","French","France",7,1010,"tt0049095","N/A"
"Autumn Leaves","1956",1956-10-08,"Approved","107 min","Drama","Robert Aldrich","English, Spanish","United States",6.8,2981,"tt0048967","N/A"
"Autumn Leaves","1956",1956-10-08,"Approved","107 min","Drama","Robert Aldrich","English, Spanish","United States",6.8,2981,"tt0048967","N/A"
"Baby Doll","1956",1956-12-29,"Approved","114 min","Comedy, Drama","Elia Kazan","English, Italian","United States",7.3,8108,"tt0048973","$2,300,000"
"Baby Doll","1956",1956-12-29,"Approved","114 min","Comedy, Drama","Elia Kazan","English, Italian","United States",7.3,8108,"tt0048973","$2,300,000"
"Baby Doll","1956",1956-12-29,"Approved","114 min","Comedy, Drama","Elia Kazan","English, Italian","United States",7.3,8108,"tt0048973","$2,300,000"
"Yield to the Night","1956",1956-11-18,"Not Rated","99 min","Crime, Drama","J. Lee Thompson","English","United Kingdom",7.1,1407,"tt0049019","N/A"
"Love Me Tender","1956",1956-11-15,"Approved","89 min","Drama, Musical, Romance","Robert D. Webb","English","United States",6.2,4561,"tt0049452","N/A"
"Love Me Tender","1956",1956-11-15,"Approved","89 min","Drama, Musical, Romance","Robert D. Webb","English","United States",6.2,4561,"tt0049452","N/A"
"Her Bridal Night","1956",1956-10-26,"N/A","95 min","Comedy, Romance","Pierre Gaspard-Huit","English, French","France",5.7,229,"tt0049483","N/A"
"12 Angry Men","1957",1957-04-10,"Approved","96 min","Crime, Drama","Sidney Lumet","English","United States",9,837336,"tt0050083","N/A"
"12 Angry Men","1957",1957-04-10,"Approved","96 min","Crime, Drama","Sidney Lumet","English","United States",9,837336,"tt0050083","N/A"
"12 Angry Men","1957",1957-04-10,"Approved","96 min","Crime, Drama","Sidney Lumet","English","United States",9,837336,"tt0050083","N/A"
"The True Story of Jesse James","1957",1957-03-01,"Approved","92 min","Biography, Crime, Drama","Nicholas Ray","English","United States",6.2,1622,"tt0051114","N/A"
"The True Story of Jesse James","1957",1957-03-01,"Approved","92 min","Biography, Crime, Drama","Nicholas Ray","English","United States",6.2,1622,"tt0051114","N/A"
"Desk Set","1957",1957-08-02,"Approved","103 min","Comedy, Romance","Walter Lang","English","United States",7.2,9253,"tt0050307","N/A"
"Desk Set","1957",1957-08-02,"Approved","103 min","Comedy, Romance","Walter Lang","English","United States",7.2,9253,"tt0050307","N/A"
"The Cranes Are Flying","1957",1960-03-21,"Not Rated","95 min","Drama, Romance, War","Mikhail Kalatozov","Russian","Soviet Union",8.3,19055,"tt0050634","$17,923"
"The Cranes Are Flying","1957",1960-03-21,"Not Rated","95 min","Drama, Romance, War","Mikhail Kalatozov","Russian","Soviet Union",8.3,19055,"tt0050634","$17,923"
"The Incredible Shrinking Man","1957",1957-04-10,"Not Rated","81 min","Horror, Sci-Fi","Jack Arnold","English","United States",7.6,19277,"tt0050539","N/A"
"The Incredible Shrinking Man","1957",1957-04-10,"Not Rated","81 min","Horror, Sci-Fi","Jack Arnold","English","United States",7.6,19277,"tt0050539","N/A"
"The Incredible Shrinking Man","1957",1957-04-10,"Not Rated","81 min","Horror, Sci-Fi","Jack Arnold","English","United States",7.6,19277,"tt0050539","N/A"
"Paths of Glory","1957",1957-12-25,"Approved","88 min","Drama, War","Stanley Kubrick","English, German, Latin","United States",8.4,207203,"tt0050825","N/A"
"Paths of Glory","1957",1957-12-25,"Approved","88 min","Drama, War","Stanley Kubrick","English, German, Latin","United States",8.4,207203,"tt0050825","N/A"
"Paths of Glory","1957",1957-12-25,"Approved","88 min","Drama, War","Stanley Kubrick","English, German, Latin","United States",8.4,207203,"tt0050825","N/A"
"Old Yeller","1957",1959-07-10,"Approved","83 min","Adventure, Drama, Family","Robert Stevenson","English","United States",7.2,14616,"tt0050798","$21,909,000"
"Old Yeller","1957",1959-07-10,"Approved","83 min","Adventure, Drama, Family","Robert Stevenson","English","United States",7.2,14616,"tt0050798","$21,909,000"
"Old Yeller","1957",1959-07-10,"Approved","83 min","Adventure, Drama, Family","Robert Stevenson","English","United States",7.2,14616,"tt0050798","$21,909,000"
"The Three Faces of Eve","1957",1957-09-18,"Approved","91 min","Drama, Mystery","Nunnally Johnson","English","United States",7.2,8482,"tt0051077","N/A"
"The Three Faces of Eve","1957",1957-09-18,"Approved","91 min","Drama, Mystery","Nunnally Johnson","English","United States",7.2,8482,"tt0051077","N/A"
"The Three Faces of Eve","1957",1957-09-18,"Approved","91 min","Drama, Mystery","Nunnally Johnson","English","United States",7.2,8482,"tt0051077","N/A"
"Funny Face","1957",1957-02-13,"Not Rated","103 min","Comedy, Musical, Romance","Stanley Donen","English, French","United States",7,32148,"tt0050419","N/A"
"Funny Face","1957",1957-02-13,"Not Rated","103 min","Comedy, Musical, Romance","Stanley Donen","English, French","United States",7,32148,"tt0050419","N/A"
"Funny Face","1957",1957-02-13,"Not Rated","103 min","Comedy, Musical, Romance","Stanley Donen","English, French","United States",7,32148,"tt0050419","N/A"
"Nights of Cabiria","1957",1957-10-16,"Not Rated","110 min","Drama","Federico Fellini","Italian, Latin","Italy, France",8.1,51164,"tt0050783","$766,530"
"Nights of Cabiria","1957",1957-10-16,"Not Rated","110 min","Drama","Federico Fellini","Italian, Latin","Italy, France",8.1,51164,"tt0050783","$766,530"
"Kanal","1957",1957-04-20,"Not Rated","91 min","Drama, War","Andrzej Wajda","Polish, German","Poland",7.9,7836,"tt0050585","N/A"
"Kanal","1957",1957-04-20,"Not Rated","91 min","Drama, War","Andrzej Wajda","Polish, German","Poland",7.9,7836,"tt0050585","N/A"
"The Enemy Below","1957",1958-01-17,"Approved","98 min","Action, Adventure, Drama","Dick Powell","English, German","United States",7.4,11857,"tt0050356","N/A"
"The Enemy Below","1957",1958-01-17,"Approved","98 min","Action, Adventure, Drama","Dick Powell","English, German","United States",7.4,11857,"tt0050356","N/A"
"The Seventh Seal","1957",1958-10-13,"Not Rated","96 min","Drama, Fantasy","Ingmar Bergman","Swedish, Latin","Sweden",8.1,193548,"tt0050976","N/A"
"The Seventh Seal","1957",1958-10-13,"Not Rated","96 min","Drama, Fantasy","Ingmar Bergman","Swedish, Latin","Sweden",8.1,193548,"tt0050976","N/A"
"The Seventh Seal","1957",1958-10-13,"Not Rated","96 min","Drama, Fantasy","Ingmar Bergman","Swedish, Latin","Sweden",8.1,193548,"tt0050976","N/A"
"Curse of the Demon","1957",1958-03-30,"Approved","95 min","Fantasy, Horror, Mystery","Jacques Tourneur","English","United Kingdom, United States",7.4,15036,"tt0050766","N/A"
"Curse of the Demon","1957",1958-03-30,"Approved","95 min","Fantasy, Horror, Mystery","Jacques Tourneur","English","United Kingdom, United States",7.4,15036,"tt0050766","N/A"
"Sweet Smell of Success","1957",1957-07-04,"Approved","96 min","Drama, Film-Noir","Alexander Mackendrick","English, Italian, Spanish","United States",8,34590,"tt0051036","N/A"
"Sweet Smell of Success","1957",1957-07-04,"Approved","96 min","Drama, Film-Noir","Alexander Mackendrick","English, Italian, Spanish","United States",8,34590,"tt0051036","N/A"
"Sweet Smell of Success","1957",1957-07-04,"Approved","96 min","Drama, Film-Noir","Alexander Mackendrick","English, Italian, Spanish","United States",8,34590,"tt0051036","N/A"
"Fire Down Below","1957",1957-06-14,"Not Rated","116 min","Adventure, Drama, Romance","Robert Parrish","English","United Kingdom, United States",6,1895,"tt0050397","$2,050,000"
"Heaven Knows, Mr. Allison","1957",1957-03-13,"Approved","107 min","Adventure, Drama, War","John Huston","English, Japanese","United States",7.3,9282,"tt0050490","N/A"
"Heaven Knows, Mr. Allison","1957",1957-03-13,"Approved","107 min","Adventure, Drama, War","John Huston","English, Japanese","United States",7.3,9282,"tt0050490","N/A"
"Wild Strawberries","1957",1959-06-22,"Not Rated","91 min","Drama, Romance","Ingmar Bergman","Swedish, Latin","Sweden",8.1,112261,"tt0050986","N/A"
"Wild Strawberries","1957",1959-06-22,"Not Rated","91 min","Drama, Romance","Ingmar Bergman","Swedish, Latin","Sweden",8.1,112261,"tt0050986","N/A"
"Wild Strawberries","1957",1959-06-22,"Not Rated","91 min","Drama, Romance","Ingmar Bergman","Swedish, Latin","Sweden",8.1,112261,"tt0050986","N/A"
"Sayonara","1957",1957-12-20,"Not Rated","147 min","Drama, Romance","Joshua Logan","English, Japanese","United States",7,7328,"tt0050933","$26,300,000"
